PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
39871091,Validity of one-time phantomless patient-specific quality assurance in proton therapy with regard to the reproducibility of beam delivery.,2025 Jan 27,N.A.,N.A.,N.A.
39871089,Modeling absorbed alpha particle dose from diffusing alpha-emitters radiation therapy in changing tissue volumes.,2025 Jan 27,N.A.,N.A.,N.A.
39871085,Comparative Analysis of 4NQO- and Ethanol-Induced Oral Epithelial Dysplasia and Oral Squamous Cell Carcinoma in Male and Female Mice: Association With Peripheral Blood Inflammatory Markers.,2025 Jan 27,N.A.,N.A.,N.A.
39871079,Stratified Impact of Therapies on Anaplastic Thyroid Cancer Outcomes in the Pre-Gene-Targeted Therapy Era.,2025 Jan 27,N.A.,N.A.,N.A.
39871032,Prognostic factors for overall survival in castration-resistant metastatic prostate cancer treated with docetaxel (MeProCSS): results from a German real-world cohort.,2025 Jan 27,N.A.,N.A.,N.A.
39871031,Targeting p38γ synergistically enhances sorafenib-induced cytotoxicity in hepatocellular carcinoma.,2025 Jan 28,N.A.,N.A.,N.A.
39871016,Deep learning-based Monte Carlo dose prediction for heavy-ion online adaptive radiotherapy and fast quality assurance: A feasibility study.,2025 Jan 27,N.A.,N.A.,N.A.
39870939,"""The biggest challenge is there's never a routine"": a qualitative study of the time burdens of cancer care at home.",2025 Jan 27,N.A.,N.A.,N.A.
39870932,Musculoskeletal symptoms associated with aromatase inhibitors in the treatment of early breast cancer: A scoping review of risk factors and outcomes.,2025 Jan 27,N.A.,N.A.,N.A.
39870908,Graphene oxide-enhanced photothermal therapy: laser parameter optimization and temperature modeling for hela cancer cell mortality.,2025 Jan 28,N.A.,N.A.,N.A.
39870804,Age-dependent differences in breast tumor microenvironment: challenges and opportunities for efficacy studies in preclinical models.,2025 Jan 27,N.A.,N.A.,N.A.
